Date,Direction,Account_No,Sender,Sender_Type,Beneficiary,Beneficiary_Type,Amount,Transaction_Method
2025-11-16,OUT,AC-4021-8837,Me,Person,Emirates Airlines,Company,61.61,Transfer
2025-11-20,OUT,AC-4021-8837,Me,Person,Emirates Airlines,Company,264.36,Transfer
2025-11-21,OUT,AC-4021-8837,Me,Person,Amazon.ae,Company,225.42,Transfer
2025-11-22,IN,AC-7745-1120,Nova Medical Center,Company,Me,Person,18902.65,Transfer
2025-11-22,OUT,AC-4021-8837,Me,Person,Carrefour Hypermarket,Company,49.42,Transfer
2025-11-26,OUT,AC-9902-3341,Me,Person,Carrefour Hypermarket,Company,324.77,Transfer
2025-11-27,IN,AC-4021-8837,Meridian Logistics FZE,Company,Me,Person,18842.84,Transfer
2025-11-27,OUT,AC-4021-8837,Me,Person,Me,Person,522.02,Withdrawal
2025-11-28,OUT,AC-7745-1120,Me,Person,Nabil Farouk,Person,7178.71,Transfer
2025-11-28,OUT,AC-7745-1120,Me,Person,Grace Adeyemi,Person,6167.87,Transfer
2025-11-28,OUT,AC-7745-1120,Me,Person,Mei Ling Tan,Person,9305.46,Transfer
2025-11-28,OUT,AC-7745-1120,Me,Person,Victor Silva,Person,6610.21,Transfer
2025-11-28,OUT,AC-7745-1120,Me,Person,Tomas Novak,Person,8410.48,Transfer
2025-11-28,OUT,AC-7745-1120,Me,Person,Aisha Bello,Person,5193.59,Transfer
2025-12-02,OUT,AC-4021-8837,Me,Person,Rami Fakhoury,Person,4500.0,Transfer
2025-12-03,OUT,AC-4021-8837,Me,Person,City Municipality Services,Company,222.07,Transfer
2025-12-04,OUT,AC-4021-8837,Me,Person,Gulf Power & Water Authority,Company,565.08,Transfer
2025-12-04,OUT,AC-9902-3341,Me,Person,Noon Marketplace,Company,310.04,Transfer
2025-12-05,OUT,AC-4021-8837,Me,Person,Shell Service Station,Company,139.92,Transfer
2025-12-05,OUT,AC-4021-8837,Me,Person,Me,Person,515.87,Withdrawal
2025-12-05,OUT,AC-4021-8837,Me,Person,Rami Fakhoury,Person,4500.0,Transfer
2025-12-05,OUT,AC-4021-8837,Me,Person,Al Futtaim Real Estate,Company,6500.0,Transfer
2025-12-06,OUT,AC-4021-8837,Me,Person,Shell Service Station,Company,728.34,Transfer
2025-12-07,OUT,AC-4021-8837,Me,Person,Zenith Insurance Co,Company,1616.86,Transfer
2025-12-08,OUT,AC-4021-8837,Me,Person,Rami Fakhoury,Person,4500.0,Transfer
2025-12-09,IN,AC-7745-1120,Greenfield Property Mgmt,Company,Me,Person,20699.22,Transfer
2025-12-09,OUT,AC-4021-8837,Me,Person,Me,Person,2964.95,Withdrawal
2025-12-09,OUT,AC-4021-8837,Me,Person,Etisalat Telecom,Company,282.36,Transfer
2025-12-10,IN,AC-4021-8837,Nova Medical Center,Company,Me,Person,7955.42,Cheque
2025-12-11,OUT,AC-4021-8837,Me,Person,Rami Fakhoury,Person,4500.0,Transfer
2025-12-14,OUT,AC-4021-8837,Me,Person,Rami Fakhoury,Person,4500.0,Transfer
2025-12-16,IN,AC-7745-1120,Falcon Auto Services,Company,Me,Person,18239.64,Transfer
2025-12-17,OUT,AC-4021-8837,Me,Person,Rami Fakhoury,Person,4500.0,Transfer
2025-12-18,IN,AC-4021-5590,Me,Person,Me,Person,8268.36,Transfer
2025-12-18,OUT,AC-4021-8837,Me,Person,Me,Person,8322.82,Transfer
2025-12-21,OUT,AC-9902-3341,Me,Person,Me,Person,1469.57,Withdrawal
2025-12-23,IN,AC-7745-1120,Amira Saleh,Person,Me,Person,5446.38,Cheque
2025-12-25,OUT,AC-4021-8837,Me,Person,Apple Store Dubai Mall,Company,248.25,Transfer
2025-12-26,OUT,AC-4021-8837,Me,Person,Noon Marketplace,Company,54.22,Transfer
2025-12-27,IN,AC-4021-8837,Meridian Logistics FZE,Company,Me,Person,18176.07,Transfer
2025-12-27,OUT,AC-9902-3341,Me,Person,Emirates Airlines,Company,269.37,Transfer
2025-12-28,OUT,AC-4021-8837,Me,Person,IKEA Home Furnishings,Company,187.77,Transfer
2025-12-28,OUT,AC-7745-1120,Me,Person,Victor Silva,Person,6798.06,Transfer
2025-12-28,OUT,AC-7745-1120,Me,Person,Aisha Bello,Person,5416.0,Transfer
2025-12-28,OUT,AC-7745-1120,Me,Person,Tomas Novak,Person,8462.37,Transfer
2025-12-28,OUT,AC-7745-1120,Me,Person,Grace Adeyemi,Person,6095.39,Transfer
2025-12-28,OUT,AC-7745-1120,Me,Person,Nabil Farouk,Person,7127.01,Transfer
2025-12-28,OUT,AC-7745-1120,Me,Person,Mei Ling Tan,Person,8982.39,Transfer
2026-01-03,IN,AC-7745-1120,Greenfield Property Mgmt,Company,Me,Person,25078.73,Transfer
2026-01-05,OUT,AC-4021-8837,Me,Person,Al Futtaim Real Estate,Company,6500.0,Transfer
2026-01-05,IN,AC-7745-1120,Nova Medical Center,Company,Me,Person,17801.15,Cheque
2026-01-05,OUT,AC-4021-8837,Me,Person,Emirates Airlines,Company,225.02,Transfer
2026-01-06,OUT,AC-4021-8837,Me,Person,Me,Person,3828.76,Transfer
2026-01-06,IN,AC-4021-5590,Me,Person,Me,Person,3461.53,Transfer
2026-01-08,OUT,AC-4021-8837,Me,Person,Gulf Power & Water Authority,Company,621.85,Transfer
2026-01-08,OUT,AC-4021-8837,Me,Person,Me,Person,1027.97,Withdrawal
2026-01-09,OUT,AC-4021-8837,Me,Person,Emirates Airlines,Company,1365.29,Transfer
2026-01-09,OUT,AC-4021-8837,Me,Person,Etisalat Telecom,Company,278.03,Transfer
2026-01-10,OUT,AC-4021-8837,Me,Person,City Municipality Services,Company,230.27,Transfer
2026-01-10,OUT,AC-4021-8837,Me,Person,Zenith Insurance Co,Company,1573.95,Transfer
2026-01-10,OUT,AC-9902-3341,Me,Person,Me,Person,1015.55,Withdrawal
2026-01-14,IN,AC-9902-3341,Blue Harbor Trading LLC,Company,Me,Person,24500.0,Transfer
2026-01-14,OUT,AC-9902-3341,Me,Person,IKEA Home Furnishings,Company,341.12,Transfer
2026-01-15,OUT,AC-4021-8837,Me,Person,Apple Store Dubai Mall,Company,493.83,Transfer
2026-01-15,OUT,AC-9902-3341,Me,Person,Sterling Consulting Group,Company,24200.0,Transfer
2026-01-18,IN,AC-7745-1120,Greenfield Property Mgmt,Company,Me,Person,6276.73,Transfer
2026-01-20,OUT,AC-4021-8837,Me,Person,Sharaf DG Electronics,Company,659.14,Transfer
2026-01-21,OUT,AC-4021-8837,Me,Person,Me,Person,483.31,Withdrawal
2026-01-24,IN,AC-7745-1120,Falcon Auto Services,Company,Me,Person,21565.96,Transfer
2026-01-24,OUT,AC-9902-3341,Me,Person,Me,Person,997.59,Withdrawal
2026-01-25,IN,AC-7745-1120,Elena Petrova,Person,Me,Person,2577.61,Cheque
2026-01-27,OUT,AC-9902-3341,Me,Person,Emirates Airlines,Company,258.71,Transfer
2026-01-27,IN,AC-4021-8837,Meridian Logistics FZE,Company,Me,Person,18338.37,Transfer
2026-01-28,OUT,AC-7745-1120,Me,Person,Nabil Farouk,Person,7182.19,Transfer
2026-01-28,OUT,AC-7745-1120,Me,Person,Tomas Novak,Person,8639.48,Transfer
2026-01-28,OUT,AC-7745-1120,Me,Person,Victor Silva,Person,6792.44,Transfer
2026-01-28,OUT,AC-7745-1120,Me,Person,Mei Ling Tan,Person,9142.04,Transfer
2026-01-28,OUT,AC-7745-1120,Me,Person,Grace Adeyemi,Person,5979.76,Transfer
2026-01-28,OUT,AC-7745-1120,Me,Person,Aisha Bello,Person,5406.95,Transfer
2026-02-01,OUT,AC-4021-8837,Me,Person,Amazon.ae,Company,51.27,Transfer
2026-02-03,OUT,AC-9902-3341,Me,Person,Carrefour Hypermarket,Company,94.36,Transfer
2026-02-03,OUT,AC-7745-1120,Me,Person,Crescent Bay Holdings Ltd,Company,50000.0,Transfer
2026-02-04,IN,AC-4021-5590,Me,Person,Me,Person,3690.87,Transfer
2026-02-04,OUT,AC-4021-8837,Me,Person,Me,Person,3204.85,Transfer
2026-02-04,OUT,AC-4021-8837,Me,Person,Zenith Insurance Co,Company,1415.7,Transfer
2026-02-04,OUT,AC-4021-8837,Me,Person,Gulf Power & Water Authority,Company,712.83,Transfer
2026-02-05,OUT,AC-4021-8837,Me,Person,Me,Person,478.22,Withdrawal
2026-02-05,OUT,AC-4021-8837,Me,Person,Al Futtaim Real Estate,Company,6500.0,Transfer
2026-02-05,OUT,AC-4021-8837,Me,Person,City Municipality Services,Company,209.47,Transfer
2026-02-06,OUT,AC-9902-3341,Me,Person,Spinneys Supermarket,Company,344.82,Transfer
2026-02-10,OUT,AC-4021-8837,Me,Person,Etisalat Telecom,Company,335.92,Transfer
2026-02-10,OUT,AC-9902-3341,Me,Person,Me,Person,498.12,Withdrawal
2026-02-10,OUT,AC-9902-3341,Me,Person,Shell Service Station,Company,817.74,Transfer
2026-02-13,IN,AC-7745-1120,Al Futtaim Real Estate,Company,Me,Person,18624.44,Transfer
2026-02-13,OUT,AC-4021-8837,Me,Person,Noon Marketplace,Company,223.79,Transfer
2026-02-14,OUT,AC-9902-3341,Me,Person,Carrefour Hypermarket,Company,810.85,Transfer
2026-02-16,OUT,AC-9902-3341,Me,Person,Spinneys Supermarket,Company,251.64,Transfer
2026-02-18,IN,AC-7745-1120,Blue Harbor Trading LLC,Company,Me,Person,8384.27,Cheque
2026-02-18,OUT,AC-7745-1120,Me,Person,Blue Harbor Trading LLC,Company,35000.0,Transfer
2026-02-18,IN,AC-7745-1120,Al Futtaim Real Estate,Company,Me,Person,17183.95,Transfer
2026-02-20,OUT,AC-9902-3341,Me,Person,Spinneys Supermarket,Company,45.57,Transfer
2026-02-20,OUT,AC-4021-8837,Me,Person,Me,Person,3500.0,Withdrawal
2026-02-21,IN,AC-7745-1120,Nova Medical Center,Company,Me,Person,21318.16,Transfer
2026-02-21,OUT,AC-4021-8837,Me,Person,Me,Person,3500.0,Withdrawal
2026-02-22,OUT,AC-4021-8837,Me,Person,Me,Person,3000.0,Withdrawal
2026-02-23,OUT,AC-4021-8837,Me,Person,Me,Person,4000.0,Withdrawal
2026-02-24,OUT,AC-4021-8837,Me,Person,Me,Person,3000.0,Withdrawal
2026-02-25,OUT,AC-4021-8837,Me,Person,Me,Person,3500.0,Withdrawal
2026-02-26,OUT,AC-4021-8837,Me,Person,Me,Person,3500.0,Withdrawal
2026-02-27,IN,AC-4021-8837,Meridian Logistics FZE,Company,Me,Person,18735.9,Transfer
2026-02-27,OUT,AC-4021-8837,Me,Person,Me,Person,4000.0,Withdrawal
2026-02-28,OUT,AC-7745-1120,Me,Person,Aisha Bello,Person,5287.83,Transfer
2026-02-28,OUT,AC-7745-1120,Me,Person,Grace Adeyemi,Person,6276.81,Transfer
